% Vallado SGP4 Result (TEME Frame)
% Time(min)      Rx(km)        Ry(km)        Rz(km)        Vx(km/s)      Vy(km/s)      Vz(km/s)
      0.0000   -1195.478290   -6860.523833       0.004247   -1.002877154    0.178325283    7.502580838
      1.0000   -1253.066362   -6835.241961     449.839999   -0.916026950    0.664115585    7.486580987
      2.0000   -1305.324518   -6780.886414     897.757120   -0.825277644    1.147096351    7.438649710
      3.0000   -1352.030468   -6697.688334    1341.845217   -0.731020531    1.625184939    7.358994087
      4.0000   -1392.985867   -6586.003200    1780.210551   -0.633662291    2.096321126    7.247961898
      5.0000   -1428.017187   -6446.309188    2210.984426   -0.533623019    2.558476901    7.106039730
      6.0000   -1456.976456   -6279.204954    2632.331442   -0.431334196    3.009666024    6.933850301
      7.0000   -1479.741883   -6085.406843    3042.457565   -0.327236610    3.447953257    6.732149041
      8.0000   -1496.218351   -5865.745564    3439.617970   -0.221778250    3.871463226    6.501819981
      9.0000   -1506.337786   -5621.162341    3822.124616   -0.115412189    4.278388837    6.243870988
     10.0000   -1510.059397   -5352.704575    4188.353523   -0.008594466    4.666999205    5.959428422
     11.0000   -1507.369794   -5061.521046    4536.751701    0.098218003    5.035647053    5.649731250
     12.0000   -1498.282977   -4748.856690    4865.843723    0.204569490    5.382775559    5.316124707
     13.0000   -1482.840201   -4416.046976    5174.237895    0.310007469    5.706924616    4.960053554
     14.0000   -1461.109731   -4064.511935    5460.632024    0.414084568    6.006736504    4.583055004
     15.0000   -1433.186469   -3695.749856    5723.818737    0.516360468    6.280960980    4.186751369
     16.0000   -1399.191480   -3311.330704    5962.690364    0.616403715    6.528459767    3.772842502
     17.0000   -1359.271405   -2912.889277    6176.243361    0.713793462    6.748210481    3.343098072
     18.0000   -1313.597779   -2502.118154    6363.582258    0.808121131    6.939310000    2.899349727
     19.0000   -1262.366239   -2080.760450    6523.923146    0.898991986    7.100977299    2.443483185
     20.0000   -1205.795656   -1650.602419    6656.596679    0.986026628    7.232555777    1.977430287
     21.0000   -1144.127170   -1213.465929    6761.050603    1.068862404    7.333515110    1.503161037
     22.0000   -1077.623142    -771.200845    6836.851809    1.147154738    7.403452633    1.022675648
     23.0000   -1006.566036    -325.677341    6883.687907    1.220578382    7.442094303    0.537996621
     24.0000    -931.257222     121.221841    6901.368327    1.288828589    7.449295243    0.051160839
     25.0000    -852.015710     567.609143    6889.824945    1.351622220    7.425039892   -0.435788285
     26.0000    -769.176828    1011.599944    6849.112242    1.408698768    7.369441780   -0.920808641
     27.0000    -683.090830    1451.320294    6779.406995    1.459821322    7.282742912   -1.401867206
     28.0000    -594.121455    1884.914588    6681.007492    1.504777456    7.165312800   -1.876947801
     29.0000    -502.644435    2310.553186    6554.332302    1.543380047    7.017647100   -2.344058812
     30.0000    -409.045950    2726.439926    6399.918559    1.575468032    6.840365878   -2.801240875
     31.0000    -313.721046    3130.819530    6218.419805    1.600907073    6.634211474   -3.246574526
     32.0000    -217.072012    3521.984868    6010.603368    1.619590162    6.400045963   -3.678187801
     33.0000    -119.506727    3898.284053    5777.347280    1.631438132    6.138848178   -4.094263768
     34.0000     -21.436971    4258.127350    5519.636755    1.636400084    5.851710299   -4.493047985
     35.0000      76.723277    4599.993862    5238.560220    1.634453720    5.539833973   -4.872855852
     36.0000     174.559566    4922.437970    4935.304899    1.625605569    5.204525957   -5.232079812
     37.0000     271.658706    5224.095499    4611.151987    1.609891111    4.847193270   -5.569196389
     38.0000     367.610502    5503.689574    4267.471391    1.587374779    4.469337849   -5.882773002
     39.0000     462.009498    5760.036141    3905.716082    1.558149836    4.072550697   -6.171474507
     40.0000     554.456688    5992.049128    3527.416057    1.522338133    3.658505545   -6.434069430
     41.0000     644.561230    6198.745199    3134.171940    1.480089714    3.228952011   -6.669435824
     42.0000     731.942119    6379.248093    2727.648247    1.431582302    2.785708309   -6.876566705
     43.0000     816.229826    6532.792509    2309.566335    1.377020626    2.330653509   -7.054575001
     44.0000     897.067900    6658.727515    1881.697068    1.316635617    1.865719395   -7.202697983
     45.0000     974.114507    6756.519451    1445.853244    1.250683454    1.392881957   -7.320301104
     46.0000    1047.043916    6825.754325    1003.881801    1.179444476    0.914152585   -7.406881221
     47.0000    1115.547910    6866.139658     557.655854    1.103221958    0.431568997   -7.462069153
     48.0000    1179.337124    6877.505789     109.066597    1.022340758   -0.052814016   -7.485631549
     49.0000    1238.142295    6859.806620    -339.984882    0.937145845   -0.536933974   -7.477472038
     50.0000    1291.715419    6813.119787    -787.595835    0.848000717   -1.018730141   -7.437631654
