% Vallado SGP4 Result (TEME Frame)
% Time(min)      Rx(km)        Ry(km)        Rz(km)        Vx(km/s)      Vy(km/s)      Vz(km/s)
      0.0000   -1196.680260   -6866.368126      -0.007677   -1.002709306    0.176180559    7.497666175
      1.0000   -1254.262289   -6841.240158     449.533997   -0.915999525    0.661129940    7.481719218
      2.0000   -1306.523280   -6787.089172     897.163377   -0.825405231    1.143266519    7.433946654
      3.0000   -1353.241762   -6704.146137    1340.976473   -0.731315803    1.620520060    7.354556897
      4.0000   -1394.220090   -6592.765604    1779.085986   -0.634135776    2.090842893    7.243897586
      5.0000   -1429.285298   -6453.424069    2209.629609   -0.534282902    2.552219531    7.102453669
      6.0000   -1458.289834   -6286.717757    2630.778182   -0.432186153    3.002676036    6.930844725
      7.0000   -1481.112167   -6093.359857    3040.743682   -0.328283679    3.440289079    6.729821586
      8.0000   -1497.657280   -5874.177219    3437.786970   -0.223020734    3.863194622    6.500262268
      9.0000   -1507.857035   -5630.106553    3820.225293   -0.116847604    4.269596168    6.243167287
     10.0000   -1511.670407   -5362.190132    4186.439473   -0.010217524    4.657772538    5.959654402
     11.0000   -1509.083602   -5071.571059    4534.880772    0.096415369    5.026085132    5.650952847
     12.0000   -1500.110055   -4759.488106    4864.077397    0.202598066    5.372984648    5.318397120
     13.0000   -1484.790292   -4427.270165    5172.640621    0.307880654    5.697017237    4.963420384
     14.0000   -1463.191698   -4076.330356    5459.270490    0.411818244    5.996830093    4.587547542
     15.0000   -1435.408150   -3708.159806    5722.761122    0.513972824    6.271176469    4.192388055
     16.0000   -1401.559557   -3324.321153    5962.005549    0.613915050    6.518920126    3.779628546
     17.0000   -1361.791284   -2926.441796    6176.000130    0.711225955    6.739039229    3.351025251
     18.0000   -1316.273483   -2516.206923    6363.848492    0.805498588    6.930629718    2.908396351
     19.0000   -1265.200321   -2095.352362    6524.765016    0.896339565    7.092908151    2.453614239
     20.0000   -1208.789126   -1665.657270    6658.077860    0.983370550    7.225214072    1.988597734
     21.0000   -1147.279441   -1228.936692    6763.231505    1.066229650    7.327011911    1.515304289
     22.0000   -1080.931993    -787.034026    6839.788844    1.144572735    7.397892440    1.035722186
     23.0000   -1010.027595    -341.813407    6887.432797    1.218074690    7.437573823    0.551862757
     24.0000    -934.865967     104.847958    6905.967459    1.286430583    7.445902257    0.065752616
     25.0000    -855.764492     551.067480    6895.318791    1.349356776    7.422852241   -0.420574082
     26.0000    -773.056907     994.964885    6855.534833    1.406591960    7.368526469   -0.905083360
     27.0000    -687.091935    1434.669897    6786.785470    1.457898125    7.283155358   -1.385749121
     28.0000    -598.231855    1868.329873    6689.361726    1.503061468    7.167096216   -1.860560824
     29.0000    -506.851030    2294.117389    6563.674599    1.541893230    7.020832032   -2.327531147
     30.0000    -413.334378    2710.237728    6410.253443    1.574230468    6.844969899   -2.784703641
     31.0000    -318.075800    3114.936278    6229.743882    1.599936752    6.640239030   -3.230160344
     32.0000    -221.476573    3506.505784    6022.905278    1.618902792    6.407488379   -3.662029384
