% Time(min)      Rx(km)        Ry(km)        Rz(km)        Vx(km/s)      Vy(km/s)      Vz(km/s)
      0.0000   -1196.193608   -6863.580568      -0.013702   -1.002913206    0.176213027    7.499190087
      1.0000   -1253.785749   -6838.438816     449.618968   -0.916131709    0.661556346    7.483220827
      2.0000   -1306.052385   -6784.250547     897.336645   -0.825460396    1.144081628    7.435380675
      3.0000   -1352.771752   -6701.247168    1341.232636   -0.731289457    1.621714422    7.355878598
      4.0000   -1393.745961   -6589.783923    1779.416986   -0.634024274    2.092402920    7.245063158
      5.0000   -1428.801854   -6450.338245    2210.024793   -0.534083479    2.554127597    7.103420583
      6.0000   -1457.791738   -6283.507535    2631.224395   -0.431896948    3.004910614    6.931572091
      7.0000   -1480.593999   -6090.006386    3041.225372   -0.327903751    3.442824903    6.730270486
      8.0000   -1497.113593   -5870.663273    3438.286319   -0.222550077    3.866002878    6.500396082
      9.0000   -1507.282407   -5626.416733    3820.722360   -0.116287147    4.272644713    6.242951995
     10.0000   -1511.059502   -5358.311064    4186.912361   -0.009569131    4.661026139    5.959058868
     11.0000   -1508.431223   -5067.491568    4535.305811    0.097148912    5.029505726    5.649949082
     12.0000   -1499.411199   -4755.199379    4864.429338    0.203413063    5.376531619    5.316960518
     13.0000   -1484.040205   -4422.765896    5172.892843    0.308772525    5.700647714    4.961529936
     14.0000   -1462.385926   -4071.606870    5459.395227    0.412781551    6.000499260    4.585186026
     15.0000   -1434.542592   -3703.216169    5722.729691    0.515001304    6.274837881    4.189542197
     16.0000   -1400.630509   -3319.159258    5961.788593    0.615001655    6.522526041    3.776289157
     17.0000   -1360.795490   -2921.066428    6175.567866    0.712362895    6.742540947    3.347187338
     18.0000   -1315.208172   -2510.625813    6363.170965    0.806677378    6.933977917    2.904059203
     19.0000   -1264.063254   -2089.576209    6523.812360    0.897551078    7.096053238    2.448781482
     20.0000   -1207.578629   -1659.699747    6656.820555    0.984605074    7.228106528    1.983277371
     21.0000   -1145.994436   -1222.814434    6761.640645    1.067476945    7.329602637    1.509508700
     22.0000   -1079.572034    -780.766592    6837.836396    1.145822097    7.400133107    1.029468119
     23.0000   -1008.592889    -335.423223    6885.091862    1.219315015    7.439417213    0.545171283
     24.0000    -933.357398     111.335674    6903.212533    1.287650439    7.447302607    0.058649065
