% Time(min)      Rx(km)        Ry(km)        Rz(km)        Vx(km/s)      Vy(km/s)      Vz(km/s)
      0.0000   -1195.478290   -6860.523830       0.004244   -1.002877154    0.178325281    7.502580836
      1.0000   -1253.066361   -6835.241958     449.839996   -0.916026950    0.664115583    7.486580985
      2.0000   -1305.324518   -6780.886412     897.757117   -0.825277644    1.147096349    7.438649708
      3.0000   -1352.030467   -6697.688332    1341.845214   -0.731020531    1.625184937    7.358994085
      4.0000   -1392.985866   -6586.003198    1780.210548   -0.633662291    2.096321124    7.247961896
      5.0000   -1428.017186   -6446.309186    2210.984423   -0.533623019    2.558476899    7.106039729
      6.0000   -1456.976455   -6279.204952    2632.331438   -0.431334196    3.009666022    6.933850301
      7.0000   -1479.741883   -6085.406842    3042.457561   -0.327236610    3.447953255    6.732149041
      8.0000   -1496.218351   -5865.745563    3439.617966   -0.221778250    3.871463224    6.501819980
      9.0000   -1506.337785   -5621.162339    3822.124613   -0.115412189    4.278388836    6.243870988
     10.0000   -1510.059396   -5352.704573    4188.353520   -0.008594467    4.666999203    5.959428422
     11.0000   -1507.369794   -5061.521044    4536.751698    0.098218002    5.035647052    5.649731250
     12.0000   -1498.282976   -4748.856688    4865.843719    0.204569490    5.382775558    5.316124707
     13.0000   -1482.840201   -4416.046975    5174.237892    0.310007469    5.706924615    4.960053554
     14.0000   -1461.109730   -4064.511934    5460.632021    0.414084568    6.006736504    4.583055004
     15.0000   -1433.186468   -3695.749855    5723.818734    0.516360468    6.280960980    4.186751368
     16.0000   -1399.191479   -3311.330702    5962.690362    0.616403715    6.528459768    3.772842501
     17.0000   -1359.271405   -2912.889274    6176.243358    0.713793462    6.748210482    3.343098071
     18.0000   -1313.597778   -2502.118151    6363.582256    0.808121131    6.939310001    2.899349725
     19.0000   -1262.366238   -2080.760447    6523.923144    0.898991986    7.100977299    2.443483183
     20.0000   -1205.795655   -1650.602415    6656.596676    0.986026629    7.232555778    1.977430285
     21.0000   -1144.127169   -1213.465925    6761.050600    1.068862405    7.333515111    1.503161033
     22.0000   -1077.623141    -771.200841    6836.851806    1.147154739    7.403452634    1.022675644
     23.0000   -1006.566035    -325.677336    6883.687904    1.220578383    7.442094304    0.537996616
     24.0000    -931.257220     121.221846    6901.368324    1.288828591    7.449295243    0.051160834
     25.0000    -852.015708     567.609149    6889.824941    1.351622222    7.425039892   -0.435788291
     26.0000    -769.176826    1011.599950    6849.112238    1.408698770    7.369441779   -0.920808648
     27.0000    -683.090828    1451.320300    6779.406990    1.459821324    7.282742911   -1.401867214
     28.0000    -594.121453    1884.914594    6681.007487    1.504777457    7.165312798   -1.876947809
     29.0000    -502.644433    2310.553192    6554.332296    1.543380049    7.017647097   -2.344058820
     30.0000    -409.045948    2726.439932    6399.918553    1.575468033    6.840365874   -2.801240883
     31.0000    -313.721043    3130.819536    6218.419799    1.600907074    6.634211470   -3.246574535
     32.0000    -217.072010    3521.984873    6010.603361    1.619590163    6.400045958   -3.678187809
     33.0000    -119.506725    3898.284058    5777.347272    1.631438132    6.138848172   -4.094263775
     34.0000     -21.436969    4258.127355    5519.636748    1.636400085    5.851710293   -4.493047992
     35.0000      76.723280    4599.993866    5238.560212    1.634453720    5.539833967   -4.872855858
     36.0000     174.559569    4922.437974    4935.304891    1.625605569    5.204525950   -5.232079818
     37.0000     271.658708    5224.095502    4611.151979    1.609891111    4.847193263   -5.569196394
     38.0000     367.610504    5503.689576    4267.471383    1.587374779    4.469337842   -5.882773006
     39.0000     462.009500    5760.036143    3905.716074    1.558149836    4.072550690   -6.171474511
     40.0000     554.456690    5992.049129    3527.416049    1.522338132    3.658505538   -6.434069433
     41.0000     644.561232    6198.745199    3134.171932    1.480089714    3.228952004   -6.669435826
     42.0000     731.942120    6379.248092    2727.648240    1.431582301    2.785708302   -6.876566706
     43.0000     816.229828    6532.792508    2309.566328    1.377020625    2.330653503   -7.054575002
     44.0000     897.067902    6658.727513    1881.697061    1.316635616    1.865719388   -7.202697983
     45.0000     974.114509    6756.519450    1445.853237    1.250683453    1.392881951   -7.320301103
     46.0000    1047.043917    6825.754323    1003.881795    1.179444475    0.914152579   -7.406881220
     47.0000    1115.547912    6866.139655     557.655848    1.103221957    0.431568992   -7.462069151
     48.0000    1179.337125    6877.505787     109.066591    1.022340757   -0.052814021   -7.485631546
     49.0000    1238.142296    6859.806617    -339.984887    0.937145844   -0.536933978   -7.477472035
     50.0000    1291.715420    6813.119784    -787.595840    0.848000716   -1.018730145   -7.437631651
     51.0000    1339.830821    6737.646278   -1231.870098    0.755285727   -1.496152952   -7.366288519
     52.0000    1382.286100    6633.709486   -1670.926269    0.659396316   -1.967173328   -7.263756818
     53.0000    1418.902993    6501.753694   -2102.905845    0.560741180   -2.429791874   -7.130485028
     54.0000    1449.528107    6342.342028   -2525.981195    0.459740380   -2.882047823   -6.967053482
     55.0000    1474.033543    6156.153883   -2938.363385    0.356823414   -3.322027705   -6.774171260
     56.0000    1492.317404    5943.981830   -3338.309787    0.252427252   -3.747873685   -6.552672462
     57.0000    1504.304188    5706.728042   -3724.131462    0.146994377   -4.157791505   -6.303511901
     58.0000    1509.945055    5445.400249   -4094.200253    0.040970809   -4.550058002   -6.027760266
     59.0000    1509.217983    5161.107263   -4446.955585   -0.065195842   -4.923028165   -5.726598815
     60.0000    1502.127807    4855.054089   -4780.910927   -0.171058303   -5.275141702   -5.401313637
     61.0000    1488.706138    4528.536658   -5094.659903   -0.276171526   -5.604929106   -5.053289564
     62.0000    1469.011179    4182.936214   -5386.882025   -0.380094530   -5.911017215   -4.684003752
     63.0000    1443.127426    3819.713376   -5656.348037   -0.482392186   -6.192134251   -4.295019022
     64.0000    1411.165263    3440.401920   -5901.924850   -0.582636950   -6.447114360   -3.887976974
     65.0000    1373.260459    3046.602300   -6122.580055   -0.680410528   -6.674901655   -3.464590948
     66.0000    1329.573563    2639.974937   -6317.386023   -0.775305474   -6.874553779   -3.026638844
     67.0000    1280.289208    2222.233316   -6485.523553   -0.866926725   -7.045245010   -2.575955857
     68.0000    1225.615325    1795.136902   -6626.285096   -0.954893065   -7.186268927   -2.114427137
     69.0000    1165.782265    1360.483910   -6739.077530   -1.038838531   -7.297040659   -1.643980399
     70.0000    1101.041851     920.103959   -6823.424492   -1.118413745   -7.377098735   -1.166578500
     71.0000    1031.666337     475.850616   -6878.968263   -1.193287189   -7.426106560   -0.684211988
     72.0000     957.947302      29.593868   -6905.471206   -1.263146422   -7.443853523   -0.198891625
     73.0000     880.194473    -416.787461   -6902.816754   -1.327699237   -7.430255759    0.287359115
     74.0000     798.734471    -861.413332   -6871.009944   -1.386674761   -7.385356561    0.772511570
     75.0000     713.909508   -1302.410122   -6810.177503   -1.439824500   -7.309326447    1.254539454
     76.0000     626.076005   -1737.918255   -6720.567478   -1.486923334   -7.202462881    1.731426455
     77.0000     535.603168   -2166.099799   -6602.548403   -1.527770445   -7.065189633    2.201173873
     78.0000     442.871498   -2585.146016   -6456.608017   -1.562190194   -6.898055762    2.661808306
     79.0000     348.271259   -2993.284840   -6283.351508   -1.590032934   -6.701734205    3.111389365
     80.0000     252.200896   -3388.788257   -6083.499304   -1.611175753   -6.477019952    3.548017433
